llama_version,opponent_model,games,wins,losses,draws,win_pct,loss_pct,draw_pct,valid_moves,invalid_moves,valid_pct,invalid_pct,greedy_count,greedy_pct,defensiva_count,defensiva_pct,ofensiva_count,ofensiva_pct,aleatoria_count,aleatoria_pct,invalida_count,invalida_pct,x_games,x_wins,x_losses,x_draws,x_win_pct,x_loss_pct,x_draw_pct,x_valid_moves,x_invalid_moves,x_valid_pct,x_invalid_pct,x_greedy_count,x_greedy_pct,x_defensiva_count,x_defensiva_pct,x_ofensiva_count,x_ofensiva_pct,x_aleatoria_count,x_aleatoria_pct,x_invalida_count,x_invalida_pct,o_games,o_wins,o_losses,o_draws,o_win_pct,o_loss_pct,o_draw_pct,o_valid_moves,o_invalid_moves,o_valid_pct,o_invalid_pct,o_greedy_count,o_greedy_pct,o_defensiva_count,o_defensiva_pct,o_ofensiva_count,o_ofensiva_pct,o_aleatoria_count,o_aleatoria_pct,o_invalida_count,o_invalida_pct
ft,meta-llama/llama-3.1-8B-instruct,20,0,8,12,0.0,40.0,60.0,34,48,41.46,58.54,0,0.0,11,13.41,19,23.17,4,4.88,48,58.54,10,0,3,7,0.0,30.0,70.0,21,26,44.68,55.32,0,0.0,5,10.64,14,29.79,2,4.26,26,55.32,10,0,5,5,0.0,50.0,50.0,13,22,37.14,62.86,0,0.0,6,17.14,5,14.29,2,5.71,22,62.86
ft,mistralai/pixtral-12b,20,1,8,11,5.0,40.0,55.0,35,48,42.17,57.83,1,1.2,5,6.02,16,19.28,13,15.66,48,57.83,10,1,2,7,10.0,20.0,70.0,24,24,50.0,50.0,1,2.08,2,4.17,15,31.25,6,12.5,24,50.0,10,0,6,4,0.0,60.0,40.0,11,24,31.43,68.57,0,0.0,3,8.57,1,2.86,7,20.0,24,68.57
ft,mistralai/ministral-8b,20,1,9,10,5.0,45.0,50.0,37,41,47.44,52.56,1,1.28,9,11.54,18,23.08,9,11.54,41,52.56,10,0,1,9,0.0,10.0,90.0,21,28,42.86,57.14,0,0.0,3,6.12,17,34.69,1,2.04,28,57.14,10,1,8,1,10.0,80.0,10.0,16,13,55.17,44.83,1,3.45,6,20.69,1,3.45,8,27.59,13,44.83
ft,openai/gpt-3.5-turbo-16k,20,3,15,2,15.0,75.0,10.0,44,31,58.67,41.33,3,4.0,13,17.33,20,26.67,8,10.67,31,41.33,10,3,5,2,30.0,50.0,20.0,26,15,63.41,36.59,3,7.32,3,7.32,19,46.34,1,2.44,15,36.59,10,0,10,0,0.0,100.0,0.0,18,16,52.94,47.06,0,0.0,10,29.41,1,2.94,7,20.59,16,47.06
ft,deepseek/deepseek-chat-v3.1,20,1,11,8,5.0,55.0,40.0,36,38,48.65,51.35,1,1.35,10,13.51,14,18.92,11,14.86,38,51.35,10,1,2,7,10.0,20.0,70.0,23,24,48.94,51.06,1,2.13,5,10.64,14,29.79,3,6.38,24,51.06,10,0,9,1,0.0,90.0,10.0,13,14,48.15,51.85,0,0.0,5,18.52,0,0.0,8,29.63,14,51.85
ft,google/gemini-2.0-flash-lite-001,20,1,15,4,5.0,75.0,20.0,39,33,54.17,45.83,1,1.39,11,15.28,20,27.78,7,9.72,33,45.83,10,1,7,2,10.0,70.0,20.0,20,21,48.78,51.22,1,2.44,2,4.88,17,41.46,0,0.0,21,51.22,10,0,8,2,0.0,80.0,20.0,19,12,61.29,38.71,0,0.0,9,29.03,3,9.68,7,22.58,12,38.71
ft,mistralai/mistral-7b-instruct-v0.3,20,0,7,13,0.0,35.0,65.0,45,36,55.56,44.44,0,0.0,13,16.05,25,30.86,7,8.64,36,44.44,10,0,3,7,0.0,30.0,70.0,27,19,58.7,41.3,0,0.0,6,13.04,18,39.13,3,6.52,19,41.3,10,0,4,6,0.0,40.0,60.0,18,17,51.43,48.57,0,0.0,7,20.0,7,20.0,4,11.43,17,48.57
ft,qwen/qwen-2.5-7b-instruct,20,0,10,10,0.0,50.0,50.0,37,45,45.12,54.88,0,0.0,18,21.95,14,17.07,5,6.1,45,54.88,10,0,2,8,0.0,20.0,80.0,25,23,52.08,47.92,0,0.0,9,18.75,14,29.17,2,4.17,23,47.92,10,0,8,2,0.0,80.0,20.0,12,22,35.29,64.71,0,0.0,9,26.47,0,0.0,3,8.82,22,64.71
ft,google/gemma-2-9b-it,20,1,8,11,5.0,40.0,55.0,38,47,44.71,55.29,1,1.18,16,18.82,11,12.94,10,11.76,47,55.29,10,0,3,7,0.0,30.0,70.0,21,26,44.68,55.32,0,0.0,8,17.02,10,21.28,3,6.38,26,55.32,10,1,5,4,10.0,50.0,40.0,17,21,44.74,55.26,1,2.63,8,21.05,1,2.63,7,18.42,21,55.26
ft,mistralai/mixtral-8x7b-instruct,20,1,11,8,5.0,55.0,40.0,41,36,53.25,46.75,1,1.3,7,9.09,20,25.97,13,16.88,36,46.75,10,1,1,8,10.0,10.0,80.0,28,20,58.33,41.67,1,2.08,4,8.33,15,31.25,8,16.67,20,41.67,10,0,10,0,0.0,100.0,0.0,13,16,44.83,55.17,0,0.0,3,10.34,5,17.24,5,17.24,16,55.17
ft,deepseek/deepseek-v3.2,20,0,17,3,0.0,85.0,15.0,27,35,43.55,56.45,0,0.0,9,14.52,13,20.97,5,8.06,35,56.45,10,0,7,3,0.0,70.0,30.0,15,23,39.47,60.53,0,0.0,3,7.89,12,31.58,0,0.0,23,60.53,10,0,10,0,0.0,100.0,0.0,12,12,50.0,50.0,0,0.0,6,25.0,1,4.17,5,20.83,12,50.0
ft,openai/chatgpt-4o-latest,20,0,18,2,0.0,90.0,10.0,34,36,48.57,51.43,0,0.0,13,18.57,11,15.71,10,14.29,36,51.43,10,0,8,2,0.0,80.0,20.0,20,21,48.78,51.22,0,0.0,7,17.07,10,24.39,3,7.32,21,51.22,10,0,10,0,0.0,100.0,0.0,14,15,48.28,51.72,0,0.0,6,20.69,1,3.45,7,24.14,15,51.72
ft,meta-llama/llama-3.3-70b-instruct,20,0,15,5,0.0,75.0,25.0,33,42,44.0,56.0,0,0.0,13,17.33,11,14.67,9,12.0,42,56.0,10,0,6,4,0.0,60.0,40.0,19,22,46.34,53.66,0,0.0,5,12.2,11,26.83,3,7.32,22,53.66,10,0,9,1,0.0,90.0,10.0,14,20,41.18,58.82,0,0.0,8,23.53,0,0.0,6,17.65,20,58.82
ft,google/gemini-2.5-flash,20,0,17,3,0.0,85.0,15.0,27,39,40.91,59.09,0,0.0,8,12.12,11,16.67,8,12.12,39,59.09,10,0,7,3,0.0,70.0,30.0,17,20,45.95,54.05,0,0.0,3,8.11,9,24.32,5,13.51,20,54.05,10,0,10,0,0.0,100.0,0.0,10,19,34.48,65.52,0,0.0,5,17.24,2,6.9,3,10.34,19,65.52
ft,amazon/nova-pro-v1,20,0,13,7,0.0,65.0,35.0,33,35,48.53,51.47,0,0.0,6,8.82,17,25.0,10,14.71,35,51.47,10,0,4,6,0.0,40.0,60.0,21,25,45.65,54.35,0,0.0,2,4.35,15,32.61,4,8.7,25,54.35,10,0,9,1,0.0,90.0,10.0,12,10,54.55,45.45,0,0.0,4,18.18,2,9.09,6,27.27,10,45.45
